[12-05-2017 14:15:09] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:15:09] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:15:09] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:15:09] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:15:09] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:15:09] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:15:09] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:15:12] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:15:12] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:15:12] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:15:12] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:15:12] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:15:12] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:15:12] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:08] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:17:08] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:17:08] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:08] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:17:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:17:18] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:18] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:49] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:17:49] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:17:49] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:17:49] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:26] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:26] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:43] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:43] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:51] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:51] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:53] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:53] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:18:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:32] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 15:41:39] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 15:41:39] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[12-05-2017 15:41:39] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[12-05-2017 15:41:39] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:41:39] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:39] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:43] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 15:41:43] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[12-05-2017 15:41:43] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[12-05-2017 15:41:43] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:41:43] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:43] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:50] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:41:50] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:41:50] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:42:07] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:42:07] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:42:07] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:42:17] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 15:42:17] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[12-05-2017 15:42:17] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[12-05-2017 15:42:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:42:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:42:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:42:22] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 15:48:08] Undefined index: id, W:\domains\mysite.local\index.php : 12
[12-05-2017 15:52:55] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 15:52:55] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[12-05-2017 15:52:55] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[12-05-2017 15:52:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 15:52:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 15:52:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 22:33:21] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[12-05-2017 22:33:21] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[12-05-2017 22:33:21] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[12-05-2017 22:33:21] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 22:33:21] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 22:33:21] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[15-05-2017 12:32:31] Undefined index: id, W:\domains\mysite.local\index.php : 12
[15-05-2017 12:32:35] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[15-05-2017 12:32:35] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[15-05-2017 12:32:35] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[15-05-2017 12:32:35] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[15-05-2017 12:32:35] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[15-05-2017 12:32:35] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[15-05-2017 13:02:37] Undefined variable: cols, W:\domains\mysite.local\table.php : 9
[15-05-2017 13:02:37] Undefined variable: rows, W:\domains\mysite.local\table.php : 10
[15-05-2017 13:02:37] Undefined variable: color, W:\domains\mysite.local\table.php : 11
[15-05-2017 13:02:37] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[15-05-2017 13:02:37] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
